Asin,Img_URL,Web_URL,Title,Type,Text
B07V5K4HG4,https://m.media-amazon.com/images/I/81VfO2DWCCL.jpg,https://music.amazon.com/albums/B07V5K4HG4,Dive Bar Garth Brooks and Blake Shelton,Song,Dive Bar Garth Brooks and Blake Shelton is a Contemporary Country song by Garth Brooks from 2010s
B081HBVT4N,https://m.media-amazon.com/images/I/61gd8suO3+L.jpg,https://music.amazon.com/albums/B081HBVT4N,ROXANNE,Song,ROXANNE is a Pop song by Arizona Zervas from 2010s
B081HBVT4N,https://m.media-amazon.com/images/I/61gd8suO3+L.jpg,https://music.amazon.com/albums/B081HBVT4N,ROXANNE,Song,ROXANNE is a Rap & Hip Hop song by Arizona Zervas from 2010s
B081HBVT4N,https://m.media-amazon.com/images/I/61gd8suO3+L.jpg,https://music.amazon.com/albums/B081HBVT4N,ROXANNE,Song,ROXANNE is a Rap & Hip-Hop song by Arizona Zervas from 2010s
B07RNMXW94,https://m.media-amazon.com/images/I/81B4Be2kkEL.jpg,https://music.amazon.com/albums/B07RNMXW94,Heartache Medication,Song,Heartache Medication is a Country song by Jon Pardi from 2010s
B07RNMXW94,https://m.media-amazon.com/images/I/81B4Be2kkEL.jpg,https://music.amazon.com/albums/B07RNMXW94,Heartache Medication,Song,Heartache Medication is a Contemporary Country song by Jon Pardi from 2010s
B07ZQ7Z83Y,https://m.media-amazon.com/images/I/A1zQU-ZQNPL.jpg,https://music.amazon.com/albums/B07ZQ7Z83Y,Don't Start Now,Song,Don't Start Now is a Pop song by Dua Lipa from 2010s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Pop song by Justin Bieber from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Pop song by Justin Bieber and Quavo from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Pop Rap song by Justin Bieber from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Pop Rap song by Justin Bieber and Quavo from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a R & B song by Justin Bieber from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a R & B song by Justin Bieber and Quavo from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Rap Pop song by Justin Bieber from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a Rap Pop song by Justin Bieber and Quavo from 2020s
